"MaximumInscribedSphereRadius","EdgeArray:0","EdgeArray:1","EdgePCoordArray","Points:0","Points:1","Points:2"
10.136,37663,37663,0,71.6,49.983,90.117
10.181,37627,37627,0,71.576,49.937,89.972
10.426,37649,37649,0,71.423,49.677,89.253
10.636,37592,37592,0,71.339,49.473,88.697
10.88,37626,37626,0,71.237,49.276,88.094
10.881,37642,37601,0.02,71.237,49.276,88.093
10.895,37609,37601,0.98,71.232,49.264,88.053
11.15,37609,37609,0,71.12,49.024,87.341
11.252,37608,37608,0,71.096,48.928,87.062
11.284,37605,37605,0,71.086,48.892,86.974
11.511,36820,36820,0,70.992,48.672,86.34
11.594,37579,37579,0,70.98,48.588,86.105
11.726,39588,39588,0,70.956,48.453,85.749
11.826,37578,37578,0,70.95,48.352,85.486
11.831,39532,39613,0.988,70.948,48.346,85.47
12.041,39532,39532,0,70.886,48.127,84.866
12.108,39599,39599,0,70.875,48.058,84.679
12.182,39598,39598,0,70.873,47.978,84.469
12.288,39595,39595,0,70.861,47.849,84.169
12.317,37566,37522,0.996,70.856,47.817,84.082
12.507,37566,37566,0,70.86,47.596,83.521
12.512,39583,39584,0.048,70.86,47.591,83.505
12.545,39584,32995,0.004,70.864,47.555,83.404
12.58,39586,39586,0,70.864,47.51,83.291
12.648,29316,37526,0.96,70.88,47.414,83.056
12.798,39574,32989,0.188,70.931,47.214,82.527
12.958,30852,39349,0.676,71,46.965,81.954
13.068,39325,32999,0.656,71.085,46.788,81.506
13.115,29349,32999,0.58,71.117,46.705,81.319
13.194,29329,29329,0,71.219,46.533,80.927
13.379,29335,29335,0,71.513,46.102,79.974
13.379,16529,29335,0.996,71.513,46.102,79.974
13.387,16529,16529,0,71.523,46.087,79.936
13.488,25095,25095,0,71.693,45.832,79.384
13.638,32832,25023,0.844,72.011,45.475,78.519
13.703,25050,25051,0.988,72.14,45.293,78.149
13.82,25040,25050,0.14,72.371,45.016,77.496
13.839,25040,22077,0.096,72.424,44.957,77.365
13.857,36778,22683,0.68,72.469,44.903,77.256
13.868,36795,36795,0,72.737,44.685,76.862
13.874,32835,32835,0,72.83,44.604,76.712
13.897,37014,30567,0.46,73.144,44.359,76.237
13.904,30567,30567,0,73.367,44.199,75.939
13.933,36791,36803,0.1,73.763,43.866,75.234
13.938,36826,30421,0.08,74.013,43.712,74.79
13.949,36965,36796,0.74,74.429,43.398,74.127
13.954,36424,36976,0.944,74.575,43.279,73.901
13.953,36976,36978,0.14,74.6,43.262,73.868
13.936,36978,36979,0.568,74.814,43.107,73.604
13.913,36974,36974,0,75.164,42.831,73.159
13.895,25042,25042,0,75.415,42.616,72.891
13.877,14238,14238,0,75.637,42.412,72.609
13.877,24650,24650,0,75.638,42.411,72.608
13.841,21945,36688,0.16,75.881,42.243,72.125
13.801,32544,24875,0.82,76.137,42.034,71.584
13.777,36922,32544,0.42,76.281,41.894,71.25
13.763,24827,36843,0.972,76.37,41.808,71.023
13.762,32540,36843,0.88,76.377,41.802,71.005
13.719,32484,32484,0,76.534,41.645,70.634
13.692,36945,36946,0.828,76.603,41.561,70.453
13.679,36944,36946,0.136,76.634,41.529,70.381
13.529,36949,36949,0,76.932,41.155,69.739
13.513,36951,36718,0.148,76.96,41.117,69.679
13.407,36927,36927,0,77.119,40.877,69.318
13.37,36772,36772,0,77.178,40.795,69.197
13.296,23443,36775,0.984,77.264,40.658,68.963
13.294,36753,36775,0.98,77.266,40.655,68.959
13.165,36728,36726,0.956,77.404,40.437,68.601
13.158,36755,36726,0.948,77.412,40.424,68.581
13.004,36755,36617,0.808,77.554,40.196,68.159
12.946,36618,36621,0.708,77.595,40.125,67.991
12.787,22967,22967,0,77.722,39.877,67.556
12.554,36612,36612,0,77.888,39.454,66.94
12.351,36603,15793,0.292,78.001,39.19,66.448
12.276,36602,30612,0.216,78.044,39.099,66.264
12.03,30361,30361,0,78.159,38.767,65.683
11.776,7919,7919,0,78.295,38.293,65.085
11.455,36641,36641,0,78.452,37.698,64.375
11.211,36646,36646,0,78.538,37.219,63.803
11.156,36647,36647,0,78.547,37.118,63.669
11.066,8165,8165,0,78.576,36.944,63.458
10.561,36738,36738,0,78.644,36.292,62.408
10.359,36740,36740,0,78.662,36.017,61.967
9.6282,36638,36638,0,78.6,35.185,60.386
9.3263,36633,36633,0,78.686,34.604,59.63
9.3263,36634,36633,0.992,78.686,34.603,59.63
9.3166,36634,36634,0,78.689,34.582,59.605
8.726,8003,24888,0.896,78.771,33.765,58.204
8.6921,24888,31287,0.112,78.779,33.695,58.105
8.429,32160,31287,0.124,78.828,33.223,57.355
8.3605,30279,32159,0.796,78.859,33.12,57.172
7.9949,22938,32106,0.296,78.905,32.582,56.178
7.9776,31959,32024,0.316,78.909,32.557,56.126
7.5874,31688,8008,0.896,79.025,31.812,54.782
7.5195,31899,8008,0.132,79.015,31.654,54.473
7.5103,8302,31899,0.884,79.009,31.636,54.431
7.4802,8302,32123,0.536,79.005,31.601,54.328
7.2294,32122,31707,0.272,79.115,31.218,53.404
7.1323,14242,15785,0.572,79.071,31.056,52.938
6.8575,32036,24211,0.984,79.091,30.482,51.329
6.8529,32041,23399,0.128,79.098,30.473,51.301
6.6616,32023,31698,0.548,79.214,30.037,50.114
6.6072,32023,32027,0.444,79.28,29.817,49.368
6.5943,32031,31876,0.472,79.313,29.696,49.08
6.5622,32030,32025,0.68,79.453,29.402,48.101
6.5436,32025,21926,0.688,79.462,29.279,47.676
6.5432,32010,32016,0.18,79.602,29.092,46.908
6.5703,23415,23415,0,79.795,28.731,45.971
6.6496,31935,31943,0.204,79.984,28.552,44.969
6.6774,31935,32014,0.504,80.039,28.437,44.491
6.7274,32012,32012,0,80.082,28.353,43.874
6.8549,31845,31845,0,80.273,28.046,42.292
6.9182,31852,31852,0,80.434,27.928,41.229
6.9701,31850,31850,0,80.522,27.805,40.662
7.1083,14253,14253,0,80.823,27.656,39.359
7.1775,31451,31665,0.116,80.995,27.437,38.419
7.2743,31451,24607,0.62,81.149,27.312,37.768
7.3313,24607,24607,0,81.223,27.252,37.397
7.4195,15324,31509,0.268,81.349,27.21,36.882
7.5118,31513,31509,0.336,81.462,27.093,36.252
7.5616,31513,31515,0.604,81.55,27.027,35.867
7.7022,31520,31519,0.368,81.681,26.86,35.087
7.7937,31518,43658,0.324,81.758,26.762,34.694
7.8772,31516,31516,0,81.811,26.666,34.346
7.8779,31498,8284,0.996,81.811,26.665,34.343
8.037,43828,43828,0,81.865,26.44,33.626
8.0699,43612,43612,0,81.917,26.377,33.414
8.1434,42794,42794,0,82.019,26.277,32.948
8.2,61087,61087,0,82.066,26.214,32.562
8.2443,63146,63146,0,82.128,26.156,32.26
8.2527,63145,63147,0.968,82.137,26.15,32.204
8.3218,63145,63145,0,82.23,26.094,31.755
8.3543,63096,61085,0.588,82.26,26.077,31.499
8.3967,63097,63107,0.804,82.354,25.965,30.876
8.4004,43564,43564,0,82.371,25.951,30.805
8.4166,63113,63113,0,82.426,25.924,30.499
8.4982,63117,63117,0,82.555,25.847,29.742
8.5052,63118,63331,0.532,82.586,25.842,29.624
8.5108,63331,63331,0,82.61,25.839,29.531
8.5214,63333,63332,0.988,82.655,25.832,29.372
