x,y,z
7.758701324462890625e+01,6.028812408447265625e+01,1.294080810546875000e+02
7.759490203857421875e+01,6.025880432128906250e+01,1.292921905517578125e+02
7.761984252929687500e+01,6.018733978271484375e+01,1.289896545410156250e+02
7.764489746093750000e+01,6.011180877685546875e+01,1.286445312500000000e+02
7.766046905517578125e+01,6.008108901977539062e+01,1.285153961181640625e+02
7.773339080810546875e+01,5.993019104003906250e+01,1.278161239624023438e+02
7.773687744140625000e+01,5.991433334350585938e+01,1.277522430419921875e+02
7.774659729003906250e+01,5.986681365966796875e+01,1.275720977783203125e+02
7.775937652587890625e+01,5.982611465454101562e+01,1.274113616943359375e+02
7.780084991455078125e+01,5.971645736694335938e+01,1.269924697875976562e+02
7.784514617919921875e+01,5.961816406250000000e+01,1.265334930419921875e+02
7.786529541015625000e+01,5.947347640991210938e+01,1.259005661010742188e+02
7.786820220947265625e+01,5.945434570312500000e+01,1.258308563232421875e+02
7.793224334716796875e+01,5.937144470214843750e+01,1.254195861816406250e+02
7.793608856201171875e+01,5.936441040039062500e+01,1.253919601440429688e+02
7.796065521240234375e+01,5.931735229492187500e+01,1.252012481689453125e+02
7.798165893554687500e+01,5.924446868896484375e+01,1.248913345336914062e+02
7.798960113525390625e+01,5.917037200927734375e+01,1.245253601074218750e+02
7.799904632568359375e+01,5.913644790649414062e+01,1.243629684448242188e+02
7.800041198730468750e+01,5.912745285034179688e+01,1.243227310180664062e+02
7.804864501953125000e+01,5.896007156372070312e+01,1.236307144165039062e+02
7.805253601074218750e+01,5.895306396484375000e+01,1.235797805786132812e+02
7.810007476806640625e+01,5.884068679809570312e+01,1.229418334960937500e+02
7.811526489257812500e+01,5.879162216186523438e+01,1.227047195434570312e+02
7.812015533447265625e+01,5.874358367919921875e+01,1.225047302246093750e+02
7.811924743652343750e+01,5.873398590087890625e+01,1.224636993408203125e+02
7.813656616210937500e+01,5.860939407348632812e+01,1.218398971557617188e+02
7.814823150634765625e+01,5.856803894042968750e+01,1.216401443481445312e+02
7.815214538574218750e+01,5.855573272705078125e+01,1.215835266113281250e+02
7.815321350097656250e+01,5.855000305175781250e+01,1.215605545043945312e+02
7.815731811523437500e+01,5.852026367187500000e+01,1.214360427856445312e+02
7.816810607910156250e+01,5.845892715454101562e+01,1.210414733886718750e+02
7.817308044433593750e+01,5.834809112548828125e+01,1.205762710571289062e+02
7.817514038085937500e+01,5.833119201660156250e+01,1.205056838989257812e+02
7.817808532714843750e+01,5.830468368530273438e+01,1.203380966186523438e+02
7.817795562744140625e+01,5.830303573608398438e+01,1.203268966674804688e+02
7.815473175048828125e+01,5.813050460815429688e+01,1.195928802490234375e+02
7.815296936035156250e+01,5.808819198608398438e+01,1.194729614257812500e+02
7.808282470703125000e+01,5.784334564208984375e+01,1.187171096801757812e+02
7.805296325683593750e+01,5.778593826293945312e+01,1.185391693115234375e+02
7.804777526855468750e+01,5.777878189086914062e+01,1.185129241943359375e+02
7.794244384765625000e+01,5.754904937744140625e+01,1.177407302856445312e+02
7.788150787353515625e+01,5.739250946044921875e+01,1.169642639160156250e+02
7.788027191162109375e+01,5.726254272460937500e+01,1.164542541503906250e+02
7.779526519775390625e+01,5.708406066894531250e+01,1.155180130004882812e+02
7.778641510009765625e+01,5.704104995727539062e+01,1.151434020996093750e+02
7.778544616699218750e+01,5.703835296630859375e+01,1.151230850219726562e+02
7.777734375000000000e+01,5.702805709838867188e+01,1.150627136230468750e+02
7.775563049316406250e+01,5.698060226440429688e+01,1.146956710815429688e+02
7.775331878662109375e+01,5.697058868408203125e+01,1.146426696777343750e+02
7.771616363525390625e+01,5.687837982177734375e+01,1.143312911987304688e+02
7.764041900634765625e+01,5.669028854370117188e+01,1.133770065307617188e+02
7.747872924804687500e+01,5.643337249755859375e+01,1.124895401000976562e+02
7.747020721435546875e+01,5.641028976440429688e+01,1.124160156250000000e+02
7.741172790527343750e+01,5.627543258666992188e+01,1.120052337646484375e+02
7.724995422363281250e+01,5.604621887207031250e+01,1.112236022949218750e+02
7.719834899902343750e+01,5.592194747924804688e+01,1.108451919555664062e+02
7.700061035156250000e+01,5.564847946166992188e+01,1.099486083984375000e+02
7.693647003173828125e+01,5.552695465087890625e+01,1.095556793212890625e+02
7.687978363037109375e+01,5.545076751708984375e+01,1.092495040893554688e+02
7.677868652343750000e+01,5.536357116699218750e+01,1.088541030883789062e+02
7.668413543701171875e+01,5.528861999511718750e+01,1.085031127929687500e+02
7.664530181884765625e+01,5.522085571289062500e+01,1.082697067260742188e+02
7.659820556640625000e+01,5.513238906860351562e+01,1.078814010620117188e+02
7.657879638671875000e+01,5.507894134521484375e+01,1.076816482543945312e+02
7.653682708740234375e+01,5.502506637573242188e+01,1.074119262695312500e+02
7.627961730957031250e+01,5.477336120605468750e+01,1.063137359619140625e+02
7.626601409912109375e+01,5.476776123046875000e+01,1.062620849609375000e+02
